qls_unit_id,unit_collection_pt_timestamp,collection_point_id,concern_id,zone_charged_id
98749120,2020-05-27 11:23:05.0,62,37,2
98755120,2020-05-27 11:32:06.0,61,131,64
98630520,2020-05-27 10:36:59.0,43,130,70
98630520,2020-05-27 10:59:20.0,7,25,29
98749520,2020-05-27 09:06:11.0,32,37,2
98749620,2020-05-27 08:21:36.0,32,168,2
98743420,2020-05-27 11:15:17.0,32,259,61
98752320,2020-05-27 11:54:43.0,62,37,2
98752220,2020-05-27 11:55:04.0,62,37,2
98746320,2020-05-27 12:04:41.0,61,37,64
98604820,2020-05-27 12:13:58.0,85,20,74
98648620,2020-05-27 12:10:47.0,127,164,73
98670320,2020-05-27 12:20:57.0,85,20,74
98687020,2020-05-27 12:31:14.0,69,130,54
98670620,2020-05-27 11:07:22.0,43,166,57
98541020,2020-05-27 10:32:17.0,44,37,4
98684920,2020-05-27 12:28:11.0,128,164,74
98744220,2020-05-27 12:39:31.0,64,42,2
98747820,2020-05-27 12:40:13.0,62,37,2
98644520,2020-05-27 10:45:46.0,43,130,70
98671220,2020-05-27 10:44:15.0,43,216,73
98737120,2020-05-27 12:53:58.0,67,37,1
98737120,2020-05-27 12:53:58.0,67,37,62
98684420,2020-05-27 12:03:52.0,83,25,74
98689820,2020-05-27 11:19:19.0,46,104,57
98689820,2020-05-27 10:59:20.0,17,47,4
98694320,2020-05-27 08:08:33.0,104,164,33
98748920,2020-05-27 12:31:03.0,32,24,2
98686120,2020-05-27 11:49:45.0,7,25,52
98684920,2020-05-27 12:27:38.0,128,164,74
98684920,2020-05-27 12:27:43.0,128,164,74
98684920,2020-05-27 12:27:43.0,128,164,74
98661020,2020-05-27 13:32:15.0,26,69,7
98683720,2020-05-27 09:07:54.0,43,130,74
98696220,2020-05-27 13:39:12.0,105,164,57
98704920,2020-05-27 12:29:37.0,104,22,33
98679420,2020-05-27 13:01:50.0,43,22,70
98683220,2020-05-27 13:48:46.0,104,164,33
98682720,2020-05-27 08:41:25.0,79,54,72
97996620,2020-05-27 14:02:35.0,50,25,75
98621920,2020-05-27 12:31:36.0,126,138,72
98704320,2020-05-27 14:09:33.0,106,164,33
98690020,2020-05-27 14:22:51.0,93,25,57
98654320,2020-05-27 12:46:49.0,126,164,72
98654320,2020-05-27 12:46:47.0,126,164,72
98695120,2020-05-27 13:41:11.0,126,164,72
98716120,2020-05-27 14:37:53.0,104,138,33
98653920,2020-05-27 14:40:49.0,26,83,2
98588920,2020-05-27 13:48:01.0,126,164,72
98690020,2020-05-27 14:56:46.0,83,25,73
98690020,2020-05-27 14:50:03.0,17,203,57
98690020,2020-05-27 14:50:03.0,17,203,57
98687220,2020-05-27 11:45:03.0,104,138,33
98659320,2020-05-27 13:36:26.0,28,13,74
98687420,2020-05-27 15:37:16.0,85,20,74
98621620,2020-05-27 15:47:46.0,29,103,29
98703820,2020-05-27 14:15:19.0,17,47,74
98707420,2020-05-27 15:49:02.0,127,138,73
98695020,2020-05-27 15:05:56.0,88,25,58
98696020,2020-05-27 16:04:38.0,7,25,52
98704220,2020-05-27 15:17:33.0,17,47,74
98690720,2020-05-27 14:59:08.0,43,130,1
98687220,2020-05-27 15:30:45.0,43,166,57
98707420,2020-05-27 16:43:21.0,128,104,74
98692320,2020-05-27 15:37:37.0,43,130,1
98680520,2020-05-27 14:58:59.0,28,135,57
98692520,2020-05-27 15:28:31.0,45,130,74
98630520,2020-05-27 13:09:25.0,7,25,29
98660920,2020-05-27 08:07:57.0,104,164,33
98647620,2020-05-27 08:09:05.0,43,164,74
98549320,2020-05-27 08:10:34.0,44,130,57
98713020,2020-05-27 08:52:43.0,60,114,22
98689720,2020-05-27 08:52:09.0,85,32,74
98689220,2020-05-27 08:43:24.0,83,25,72
